"","Transect","Plot","Replicate","Date","Time","Observer","Sky","Wind","BirdNumber","Period","Minute","Species","Sex","DetectionMethod","Distance","NewRecord","CounterSing"
"2731",785,113,0,"5/26/2015","8:33:00 AM","DJW",1,2,2,1,1,"BTBW","M","S",1,1,1
"2736",785,113,0,"5/26/2015","8:33:00 AM","DJW",1,2,9,2,4,"BTBW","M","S",1,0,1
"2738",785,113,0,"5/26/2015","8:33:00 AM","DJW",1,2,11,2,4,"BLBW","M","S",1,0,0
"2742",785,113,0,"5/26/2015","8:33:00 AM","DJW",1,2,15,3,7,"BLBW","M","S",1,0,0
"2744",785,113,0,"5/26/2015","8:33:00 AM","DJW",1,2,17,3,7,"BTNW","M","S",1,0,1
"2745",785,113,0,"5/26/2015","8:33:00 AM","DJW",1,2,18,3,7,"BTBW","M","S",1,0,1
"2749",785,117,0,"5/26/2015","7:20:00 AM","DJW",0,1,1,1,1,"BLBW","M","S",1,1,0
"2752",785,117,0,"5/26/2015","7:20:00 AM","DJW",0,1,4,2,4,"BLBW","M","S",1,0,0
"2755",785,117,0,"5/26/2015","7:20:00 AM","DJW",0,1,8,3,7,"BLBW","M","S",1,0,0
"2758",785,116,0,"5/26/2015","7:39:00 AM","DJW",2,1,1,1,1,"REVI","M","S",1,1,0
"2759",785,116,0,"5/26/2015","7:39:00 AM","DJW",2,1,2,1,1,"OVEN","M","S",1,1,0
"2760",785,116,0,"5/26/2015","7:39:00 AM","DJW",2,1,3,2,4,"REVI","M","S",1,0,0
"2761",785,116,0,"5/26/2015","7:39:00 AM","DJW",2,1,4,2,4,"OVEN","M","S",1,0,0
"2762",785,116,0,"5/26/2015","7:39:00 AM","DJW",2,1,5,2,4,"BTBW","M","S",1,1,0
"2763",785,116,0,"5/26/2015","7:39:00 AM","DJW",2,1,6,2,4,"BTNW","M","S",1,1,0
"2764",785,116,0,"5/26/2015","7:39:00 AM","DJW",2,1,7,3,7,"REVI","M","S",1,0,0
"2765",785,116,0,"5/26/2015","7:39:00 AM","DJW",2,1,8,3,8,"OVEN","M","S",1,0,0
"2768",785,115,0,"5/26/2015","8:00:00 AM","DJW",1,1,3,1,2,"BLBW","M","S",1,1,0
"2770",785,115,0,"5/26/2015","8:00:00 AM","DJW",1,1,5,2,4,"BLBW","M","S",1,0,0
"2773",785,115,0,"5/26/2015","8:00:00 AM","DJW",1,1,8,2,7,"BTBW","M","S",1,1,0
"2774",785,115,0,"5/26/2015","8:00:00 AM","DJW",1,1,9,3,7,"BTBW","M","S",1,0,0
"2776",785,115,0,"5/26/2015","8:00:00 AM","DJW",1,1,11,3,8,"BLBW","M","S",1,0,0
"2778",785,86,0,"5/26/2015","6:51:00 AM","CH",0,0,2,1,1,"REVI","M","S",1,1,0
"2779",785,86,0,"5/26/2015","6:51:00 AM","CH",0,0,5,1,1,"BTNW","M","S",1,1,0
"2780",785,86,0,"5/26/2015","6:51:00 AM","CH",0,0,13,2,4,"BTNW","M","S",1,0,0
"2781",785,86,0,"5/26/2015","6:51:00 AM","CH",0,0,14,2,5,"REVI","M","S",1,1,1
"2782",785,86,0,"5/26/2015","6:51:00 AM","CH",0,0,15,2,5,"REVI","M","S",1,1,1
"2783",785,86,0,"5/26/2015","6:51:00 AM","CH",0,0,20,3,7,"BTNW","M","S",1,0,0
"2784",785,86,0,"5/26/2015","6:51:00 AM","CH",0,0,25,3,8,"REVI","M","S",1,0,1
"2785",785,86,0,"5/26/2015","6:51:00 AM","CH",0,0,27,3,9,"REVI","M","S",1,0,1
"2786",785,86,0,"5/26/2015","6:51:00 AM","CH",0,0,28,3,9,"BTBW","M","S",1,1,0
"2788",785,114,0,"5/26/2015","8:14:00 AM","DJW",1,1,2,1,1,"BTBW","M","S",1,1,0
"2789",785,114,0,"5/26/2015","8:14:00 AM","DJW",1,1,3,1,1,"REVI","M","S",1,1,0
"2790",785,114,0,"5/26/2015","8:14:00 AM","DJW",1,1,7,1,2,"BLBW","M","S",1,1,0
"2792",785,114,0,"5/26/2015","8:14:00 AM","DJW",1,1,9,2,4,"BTNW","M","S",1,0,1
"2794",785,114,0,"5/26/2015","8:14:00 AM","DJW",1,1,11,2,4,"REVI","M","S",1,0,0
"2796",785,114,0,"5/26/2015","8:14:00 AM","DJW",1,1,13,2,4,"BLBW","M","S",1,0,0
"2802",785,84,0,"5/26/2015","7:46:00 AM","CH",1,1,1,1,1,"BTBW","M","S",1,1,1
"2803",785,84,0,"5/26/2015","7:46:00 AM","CH",1,1,3,1,1,"BLBW","M","S",1,1,0
"2812",785,84,0,"5/26/2015","7:46:00 AM","CH",1,1,21,2,6,"BTBW","M","S",1,1,1
"2814",785,84,0,"5/26/2015","7:46:00 AM","CH",1,1,23,3,7,"BTBW","M","S",1,0,1
"2818",785,84,0,"5/26/2015","7:46:00 AM","CH",1,1,30,3,9,"BTBW","M","S",1,1,1
"2819",785,87,0,"5/26/2015","6:22:00 AM","CH",0,0,3,1,1,"REVI","M","S",1,1,0
"2821",785,87,0,"5/26/2015","6:22:00 AM","CH",0,0,13,2,4,"REVI","M","S",1,0,0
"2822",785,87,0,"5/26/2015","6:22:00 AM","CH",0,0,22,3,7,"REVI","M","S",1,0,0
"2823",785,85,0,"5/26/2015","7:22:00 AM","CH",0,0,2,1,1,"BTBW","M","S",1,1,0
"2828",785,85,0,"5/26/2015","7:22:00 AM","CH",0,0,12,2,3,"BTBW","M","S",1,0,0
"2833",785,85,0,"5/26/2015","7:22:00 AM","CH",0,0,23,3,7,"BTBW","M","S",1,0,0
"2837",785,88,0,"5/26/2015","5:58:00 AM","CH",1,0,1,1,1,"BLBW","M","S",1,1,1
"2838",785,88,0,"5/26/2015","5:58:00 AM","CH",1,0,2,1,1,"OVEN","M","S",1,1,0
"2839",785,88,0,"5/26/2015","5:58:00 AM","CH",1,0,3,1,1,"BLBW","M","S",1,1,1
"2840",785,88,0,"5/26/2015","5:58:00 AM","CH",1,0,4,1,1,"BTNW","M","S",1,1,0
"2841",785,88,0,"5/26/2015","5:58:00 AM","CH",1,0,5,1,1,"BLBW","M","S",1,1,1
"2844",785,88,0,"5/26/2015","5:58:00 AM","CH",1,0,8,1,3,"BTBW","M","S",1,1,1
"2845",785,88,0,"5/26/2015","5:58:00 AM","CH",1,0,9,2,4,"OVEN","M","S",1,0,0
"2847",785,88,0,"5/26/2015","5:58:00 AM","CH",1,0,11,2,4,"BTNW","M","S",1,0,1
"2848",785,88,0,"5/26/2015","5:58:00 AM","CH",1,0,12,2,4,"BLBW","M","S",1,0,1
"2849",785,88,0,"5/26/2015","5:58:00 AM","CH",1,0,13,2,4,"BLBW","M","S",1,0,1
"2851",785,88,0,"5/26/2015","5:58:00 AM","CH",1,0,15,2,5,"BTNW","M","S",1,1,1
"2853",785,88,0,"5/26/2015","5:58:00 AM","CH",1,0,17,3,7,"BTNW","M","S",1,0,0
"2855",785,88,0,"5/26/2015","5:58:00 AM","CH",1,0,19,3,7,"OVEN","M","S",1,0,0
"2857",785,88,0,"5/26/2015","5:58:00 AM","CH",1,0,21,3,8,"BLBW","M","S",1,0,1
"2858",785,88,0,"5/26/2015","5:58:00 AM","CH",1,0,22,3,8,"BLBW","M","S",1,0,1
"2859",785,88,0,"5/26/2015","5:58:00 AM","CH",1,0,23,3,10,"BTBW","M","S",1,1,0
"2861",785,89,0,"5/26/2015","5:32:00 AM","CH",1,0,1,1,1,"OVEN","M","S",1,1,0
"2862",785,89,0,"5/26/2015","5:32:00 AM","CH",1,0,2,1,1,"REVI","M","S",1,1,0
"2863",785,89,0,"5/26/2015","5:32:00 AM","CH",1,0,3,1,1,"BTBW","M","S",1,1,0
"2864",785,89,0,"5/26/2015","5:32:00 AM","CH",1,0,4,1,1,"BLBW","M","S",1,1,0
"2865",785,89,0,"5/26/2015","5:32:00 AM","CH",1,0,6,1,2,"REVI","M","S",1,1,0
"2866",785,89,0,"5/26/2015","5:32:00 AM","CH",1,0,7,2,4,"REVI","M","S",1,0,0
"2869",785,89,0,"5/26/2015","5:32:00 AM","CH",1,0,11,2,6,"BTBW","M","S",1,0,0
"2870",785,89,0,"5/26/2015","5:32:00 AM","CH",1,0,12,3,7,"REVI","M","S",1,0,0
"2871",785,89,0,"5/26/2015","5:32:00 AM","CH",1,0,13,3,8,"BTNW","U","C",1,1,0
"2872",785,89,0,"5/26/2015","5:32:00 AM","CH",1,0,14,3,9,"BLBW","M","S",1,0,0
"2874",780,120,0,"5/27/2015","5:30:00 AM","DJW",3,1,2,1,1,"BTBW","M","S",1,1,0
"2876",780,120,0,"5/27/2015","5:30:00 AM","DJW",3,1,5,1,2,"BTNW","M","S",1,1,1
"2878",780,120,0,"5/27/2015","5:30:00 AM","DJW",3,1,8,2,4,"BTNW","M","S",1,0,1
"2881",780,120,0,"5/27/2015","5:30:00 AM","DJW",3,1,11,2,4,"BTBW","M","S",1,0,0
"2883",780,120,0,"5/27/2015","5:30:00 AM","DJW",3,1,17,3,7,"BTNW","M","S",1,0,1
"2886",780,120,0,"5/27/2015","5:30:00 AM","DJW",3,1,21,3,7,"BTBW","M","S",1,0,0
"2889",780,136,0,"5/27/2015","9:51:00 AM","CH",0,0,1,1,1,"BLBW","M","S",1,1,0
"2890",780,136,0,"5/27/2015","9:51:00 AM","CH",0,0,2,1,1,"BTNW","M","S",1,1,0
"2891",780,136,0,"5/27/2015","9:51:00 AM","CH",0,0,5,2,4,"BTNW","M","S",1,0,0
"2892",780,136,0,"5/27/2015","9:51:00 AM","CH",0,0,10,3,7,"BTNW","M","S",1,0,0
"2894",775,154,0,"5/27/2015","5:35:00 AM","AJS",2,1,1,1,1,"BTNW","M","S",1,1,0
"2895",775,154,0,"5/27/2015","5:35:00 AM","AJS",2,1,2,1,1,"BTBW","M","S",1,1,1
"2896",775,154,0,"5/27/2015","5:35:00 AM","AJS",2,1,6,1,1,"REVI","M","S",1,1,1
"2899",775,154,0,"5/27/2015","5:35:00 AM","AJS",2,1,11,2,3,"BTBW","M","S",1,0,0
"2900",775,154,0,"5/27/2015","5:35:00 AM","AJS",2,1,14,2,4,"BTNW","M","S",1,0,0
"2902",775,154,0,"5/27/2015","5:35:00 AM","AJS",2,1,16,2,5,"REVI","M","S",1,0,1
"2903",775,154,0,"5/27/2015","5:35:00 AM","AJS",2,1,21,3,7,"REVI","M","S",1,0,1
"2905",775,154,0,"5/27/2015","5:35:00 AM","AJS",2,1,26,3,8,"BTBW","M","S",1,0,0
"2906",775,154,0,"5/27/2015","5:35:00 AM","AJS",2,1,28,3,9,"BTNW","M","S",1,0,1
"2908",780,135,0,"5/27/2015","9:34:00 AM","CH",0,0,1,1,1,"BTNW","M","S",1,1,1
"2909",780,135,0,"5/27/2015","9:34:00 AM","CH",0,0,2,1,1,"BTBW","M","S",1,1,0
"2910",780,135,0,"5/27/2015","9:34:00 AM","CH",0,0,3,1,1,"BTNW","M","S",1,1,1
"2914",780,135,0,"5/27/2015","9:34:00 AM","CH",0,0,10,1,3,"BLBW","M","S",1,1,1
"2915",780,135,0,"5/27/2015","9:34:00 AM","CH",0,0,13,2,4,"BTBW","M","S",1,0,1
"2917",780,135,0,"5/27/2015","9:34:00 AM","CH",0,0,17,2,4,"BTNW","M","S",1,0,1
"2918",780,135,0,"5/27/2015","9:34:00 AM","CH",0,0,18,2,4,"BTNW","M","S",1,0,1
"2920",780,135,0,"5/27/2015","9:34:00 AM","CH",0,0,20,2,5,"BTBW","M","S",1,1,1
"2921",780,135,0,"5/27/2015","9:34:00 AM","CH",0,0,21,2,5,"OVEN","M","S",1,1,0
"2922",780,135,0,"5/27/2015","9:34:00 AM","CH",0,0,24,3,6,"BTNW","M","S",1,0,1
"2924",780,135,0,"5/27/2015","9:34:00 AM","CH",0,0,27,3,8,"BTNW","M","S",1,0,1
"2925",780,135,0,"5/27/2015","9:34:00 AM","CH",0,0,28,3,8,"BTBW","M","S",1,0,0
"2926",780,135,0,"5/27/2015","9:34:00 AM","CH",0,0,29,3,8,"OVEN","M","S",1,0,0
"2927",780,135,0,"5/27/2015","9:34:00 AM","CH",0,0,32,3,10,"BTNW","M","S",1,1,1
"2931",780,138,0,"5/27/2015","5:47:00 AM","DJW",2,1,4,1,1,"BLBW","M","S",1,1,0
"2935",780,138,0,"5/27/2015","5:47:00 AM","DJW",2,1,10,2,4,"OVEN","M","S",1,0,1
"2938",780,138,0,"5/27/2015","5:47:00 AM","DJW",2,1,13,2,4,"REVI","M","S",1,0,1
"2942",780,138,0,"5/27/2015","5:47:00 AM","DJW",2,1,18,2,6,"BTBW","M","S",1,0,0
"2946",780,138,0,"5/27/2015","5:47:00 AM","DJW",2,1,23,3,7,"REVI","M","S",1,0,1
"2950",780,139,0,"5/27/2015","6:03:00 AM","DJW",2,1,1,1,1,"OVEN","M","S",1,1,1
"2951",780,139,0,"5/27/2015","6:03:00 AM","DJW",2,1,2,1,1,"REVI","M","S",1,1,1
"2953",780,139,0,"5/27/2015","6:03:00 AM","DJW",2,1,4,1,1,"BTBW","M","S",1,1,0
"2958",780,139,0,"5/27/2015","6:03:00 AM","DJW",2,1,10,2,4,"REVI","M","S",1,0,1
"2969",780,139,0,"5/27/2015","6:03:00 AM","DJW",2,1,22,3,7,"REVI","M","S",1,0,1
"2971",780,139,0,"5/27/2015","6:03:00 AM","DJW",2,1,26,3,10,"BTBW","M","S",1,0,0
"2972",775,153,0,"5/27/2015","5:55:00 AM","AJS",2,1,1,1,1,"BTNW","M","S",1,1,0
"2973",775,153,0,"5/27/2015","5:55:00 AM","AJS",2,1,5,1,1,"REVI","M","S",1,1,1
"2976",775,153,0,"5/27/2015","5:55:00 AM","AJS",2,1,9,2,3,"REVI","M","S",1,0,1
"2979",775,153,0,"5/27/2015","5:55:00 AM","AJS",2,1,14,2,5,"BTNW","M","S",1,0,0
"2980",775,153,0,"5/27/2015","5:55:00 AM","AJS",2,1,15,2,5,"BLBW","M","S",1,1,0
"2981",775,153,0,"5/27/2015","5:55:00 AM","AJS",2,1,16,2,6,"BTBW","M","S",1,1,0
"2982",775,153,0,"5/27/2015","5:55:00 AM","AJS",2,1,19,3,6,"BTNW","M","S",1,0,0
"2985",775,153,0,"5/27/2015","5:55:00 AM","AJS",2,1,23,3,8,"BTBW","M","S",1,0,0
"2986",775,153,0,"5/27/2015","5:55:00 AM","AJS",2,1,24,3,9,"BLBW","M","S",1,0,0
"2988",780,134,0,"5/27/2015","9:19:00 AM","CH",0,0,2,1,1,"BLBW","M","S",1,1,0
"2989",780,134,0,"5/27/2015","9:19:00 AM","CH",0,0,3,1,1,"BTNW","M","S",1,1,1
"2991",780,134,0,"5/27/2015","9:19:00 AM","CH",0,0,5,1,1,"BTBW","M","S",1,1,0
"2992",780,134,0,"5/27/2015","9:19:00 AM","CH",0,0,6,1,2,"BTNW","M","S",1,1,1
"2993",780,134,0,"5/27/2015","9:19:00 AM","CH",0,0,7,1,3,"REVI","M","S",1,1,0
"2994",780,134,0,"5/27/2015","9:19:00 AM","CH",0,0,8,2,4,"BTBW","M","S",1,0,1
"2995",780,134,0,"5/27/2015","9:19:00 AM","CH",0,0,9,2,4,"BTNW","M","S",1,0,1
"2996",780,134,0,"5/27/2015","9:19:00 AM","CH",0,0,10,2,4,"BLBW","M","S",1,0,0
"2997",780,134,0,"5/27/2015","9:19:00 AM","CH",0,0,11,2,5,"BTNW","M","S",1,0,1
"2998",780,134,0,"5/27/2015","9:19:00 AM","CH",0,0,13,2,5,"BTBW","M","S",1,1,1
"2999",780,134,0,"5/27/2015","9:19:00 AM","CH",0,0,17,3,7,"BTNW","M","S",1,0,1
"3000",780,134,0,"5/27/2015","9:19:00 AM","CH",0,0,18,3,7,"BTBW","M","S",1,0,1
"3001",780,134,0,"5/27/2015","9:19:00 AM","CH",0,0,20,3,8,"BTBW","M","S",1,0,1
"3002",780,134,0,"5/27/2015","9:19:00 AM","CH",0,0,24,3,10,"BTNW","M","S",1,0,1
"3018",780,140,0,"5/27/2015","6:20:00 AM","DJW",2,1,16,2,5,"OVEN","M","S",1,1,1
"3027",780,140,0,"5/27/2015","6:20:00 AM","DJW",2,1,25,3,8,"REVI","M","S",1,0,1
"3028",780,140,0,"5/27/2015","6:20:00 AM","DJW",2,1,26,3,8,"OVEN","M","S",1,0,1
"3030",780,141,0,"5/27/2015","6:36:00 AM","DJW",2,1,1,1,1,"REVI","M","S",1,1,1
"3033",780,141,0,"5/27/2015","6:36:00 AM","DJW",2,1,4,1,1,"BTNW","M","S",1,1,1
"3034",780,141,0,"5/27/2015","6:36:00 AM","DJW",2,1,5,1,1,"BLBW","M","S",1,1,0
"3035",780,141,0,"5/27/2015","6:36:00 AM","DJW",2,1,6,1,1,"OVEN","M","S",1,1,1
"3038",780,141,0,"5/27/2015","6:36:00 AM","DJW",2,1,10,2,4,"REVI","M","S",1,0,1
"3040",780,141,0,"5/27/2015","6:36:00 AM","DJW",2,1,12,2,4,"OVEN","M","S",1,0,1
"3042",780,141,0,"5/27/2015","6:36:00 AM","DJW",2,1,14,2,4,"BLBW","M","S",1,0,0
"3043",780,141,0,"5/27/2015","6:36:00 AM","DJW",2,1,15,2,4,"BTNW","M","S",1,0,1
"3046",780,141,0,"5/27/2015","6:36:00 AM","DJW",2,1,19,3,7,"BTNW","M","S",1,0,1
"3049",780,141,0,"5/27/2015","6:36:00 AM","DJW",2,1,22,3,7,"BTBW","M","S",1,0,0
"3050",780,141,0,"5/27/2015","6:36:00 AM","DJW",2,1,23,3,7,"BLBW","M","S",1,0,0
"3051",780,141,0,"5/27/2015","6:36:00 AM","DJW",2,1,24,3,7,"REVI","M","S",1,0,1
"3054",780,133,0,"5/27/2015","8:59:00 AM","CH",0,0,2,1,1,"BLBW","M","S",1,1,1
"3055",780,133,0,"5/27/2015","8:59:00 AM","CH",0,0,4,1,1,"BLBW","M","S",1,1,1
"3056",780,133,0,"5/27/2015","8:59:00 AM","CH",0,0,5,1,2,"BTNW","M","S",1,1,0
"3059",780,133,0,"5/27/2015","8:59:00 AM","CH",0,0,8,2,4,"BTNW","M","S",1,0,0
"3060",780,133,0,"5/27/2015","8:59:00 AM","CH",0,0,9,2,4,"BLBW","M","S",1,0,1
"3061",780,133,0,"5/27/2015","8:59:00 AM","CH",0,0,10,2,4,"BTBW","M","S",1,1,0
"3063",780,133,0,"5/27/2015","8:59:00 AM","CH",0,0,13,2,7,"BLBW","M","S",1,0,1
"3064",780,133,0,"5/27/2015","8:59:00 AM","CH",0,0,14,2,7,"REVI","M","S",1,1,0
"3065",780,133,0,"5/27/2015","8:59:00 AM","CH",0,0,15,3,7,"REVI","M","S",1,0,0
"3066",780,133,0,"5/27/2015","8:59:00 AM","CH",0,0,16,3,7,"BTNW","M","S",1,0,1
"3069",780,133,0,"5/27/2015","8:59:00 AM","CH",0,0,19,3,8,"BLBW","M","S",1,0,1
"3070",780,133,0,"5/27/2015","8:59:00 AM","CH",0,0,20,3,8,"BLBW","M","S",1,0,1
"3071",775,152,0,"5/27/2015","6:15:00 AM","AJS",2,1,1,1,1,"REVI","M","S",1,1,0
"3072",775,152,0,"5/27/2015","6:15:00 AM","AJS",2,1,2,1,1,"BTBW","M","S",1,1,0
"3073",775,152,0,"5/27/2015","6:15:00 AM","AJS",2,1,3,1,1,"OVEN","M","S",1,1,0
"3076",775,152,0,"5/27/2015","6:15:00 AM","AJS",2,1,6,2,3,"REVI","M","S",1,0,0
"3077",775,152,0,"5/27/2015","6:15:00 AM","AJS",2,1,7,2,3,"OVEN","M","S",1,0,0
"3078",775,152,0,"5/27/2015","6:15:00 AM","AJS",2,1,8,2,3,"BTNW","M","S",1,0,1
"3081",775,152,0,"5/27/2015","6:15:00 AM","AJS",2,1,11,3,6,"BTNW","M","S",1,0,0
"3082",775,152,0,"5/27/2015","6:15:00 AM","AJS",2,1,12,3,7,"OVEN","M","S",1,0,0
"3083",780,142,0,"5/27/2015","6:52:00 AM","DJW",2,1,3,1,1,"OVEN","M","S",1,1,1
"3087",780,142,0,"5/27/2015","6:52:00 AM","DJW",2,1,9,2,4,"OVEN","M","S",1,0,1
"3093",780,142,0,"5/27/2015","6:52:00 AM","DJW",2,1,19,3,8,"OVEN","M","S",1,0,1
"3095",775,171,0,"5/27/2015","6:30:00 AM","AJS",2,0,1,1,1,"BTNW","M","S",1,1,0
"3096",775,171,0,"5/27/2015","6:30:00 AM","AJS",2,0,4,2,4,"OVEN","M","S",1,1,0
"3097",775,171,0,"5/27/2015","6:30:00 AM","AJS",2,0,5,2,4,"BTNW","M","S",1,0,0
"3099",775,171,0,"5/27/2015","6:30:00 AM","AJS",2,0,7,3,6,"OVEN","M","S",1,0,0
"3100",775,171,0,"5/27/2015","6:30:00 AM","AJS",2,0,8,3,6,"BTBW","M","S",1,0,0
"3104",780,132,0,"5/27/2015","8:44:00 AM","CH",0,0,4,1,1,"BTNW","M","S",1,1,0
"3105",780,132,0,"5/27/2015","8:44:00 AM","CH",0,0,7,1,3,"BLBW","M","S",1,1,0
"3106",780,132,0,"5/27/2015","8:44:00 AM","CH",0,0,8,2,4,"BLBW","M","S",1,0,0
"3108",780,132,0,"5/27/2015","8:44:00 AM","CH",0,0,13,3,7,"BLBW","M","S",1,0,0
"3109",780,132,0,"5/27/2015","8:44:00 AM","CH",0,0,15,3,8,"BTNW","M","S",1,0,0
"3111",780,132,0,"5/27/2015","8:44:00 AM","CH",0,0,17,3,9,"BTNW","M","C",1,0,0
"3112",775,172,0,"5/27/2015","6:50:00 AM","AJS",2,0,1,1,1,"BLBW","M","S",1,1,0
"3113",775,172,0,"5/27/2015","6:50:00 AM","AJS",2,0,3,1,1,"OVEN","M","S",1,1,1
"3121",775,172,0,"5/27/2015","6:50:00 AM","AJS",2,0,12,2,5,"BLBW","M","S",1,0,0
"3122",775,172,0,"5/27/2015","6:50:00 AM","AJS",2,0,13,2,5,"OVEN","M","S",1,0,1
"3125",775,172,0,"5/27/2015","6:50:00 AM","AJS",2,0,17,3,7,"BLBW","M","S",1,0,1
"3128",775,172,0,"5/27/2015","6:50:00 AM","AJS",2,0,20,3,9,"BLBW","M","S",1,1,1
"3129",780,143,0,"5/27/2015","7:06:00 AM","DJW",2,1,3,1,1,"OVEN","M","S",1,1,1
"3132",780,143,0,"5/27/2015","7:06:00 AM","DJW",2,1,7,1,1,"BLBW","M","S",1,1,0
"3136",780,143,0,"5/27/2015","7:06:00 AM","DJW",2,1,13,2,4,"BLBW","M","S",1,0,0
"3138",780,143,0,"5/27/2015","7:06:00 AM","DJW",2,1,17,3,7,"BLBW","M","S",1,0,0
"3142",780,143,0,"5/27/2015","7:06:00 AM","DJW",2,1,22,3,7,"OVEN","M","S",1,0,1
"3143",780,143,0,"5/27/2015","7:06:00 AM","DJW",2,1,24,3,8,"REVI","M","S",1,0,0
"3144",780,131,0,"5/27/2015","8:24:00 AM","CH",0,0,1,1,1,"BTBW","M","S",1,1,0
"3145",780,131,0,"5/27/2015","8:24:00 AM","CH",0,0,3,1,1,"BTNW","M","S",1,1,0
"3146",780,131,0,"5/27/2015","8:24:00 AM","CH",0,0,9,1,3,"BLBW","M","S",1,1,0
"3148",780,131,0,"5/27/2015","8:24:00 AM","CH",0,0,12,2,4,"BTBW","M","S",1,0,0
"3149",780,131,0,"5/27/2015","8:24:00 AM","CH",0,0,14,2,4,"BLBW","M","S",1,0,1
"3154",780,131,0,"5/27/2015","8:24:00 AM","CH",0,0,19,2,5,"BTBW","M","S",1,1,0
"3155",780,131,0,"5/27/2015","8:24:00 AM","CH",0,0,21,2,7,"BTBW","F","V",1,1,0
"3156",780,131,0,"5/27/2015","8:24:00 AM","CH",0,0,22,3,7,"BTBW","M","S",1,0,0
"3157",780,131,0,"5/27/2015","8:24:00 AM","CH",0,0,23,3,7,"BTNW","M","S",1,0,0
"3158",780,131,0,"5/27/2015","8:24:00 AM","CH",0,0,24,3,8,"BLBW","M","S",1,0,1
"3159",780,131,0,"5/27/2015","8:24:00 AM","CH",0,0,27,3,8,"BTBW","F","C",1,0,0
"3160",780,131,0,"5/27/2015","8:24:00 AM","CH",0,0,29,3,9,"BLBW","M","S",1,0,1
"3166",780,144,0,"5/27/2015","7:22:00 AM","DJW",1,1,6,1,1,"OVEN","M","S",1,1,1
"3168",780,144,0,"5/27/2015","7:22:00 AM","DJW",1,1,10,1,3,"BLBW","M","S",1,1,0
"3170",780,144,0,"5/27/2015","7:22:00 AM","DJW",1,1,13,2,4,"OVEN","M","S",1,0,1
"3172",780,144,0,"5/27/2015","7:22:00 AM","DJW",1,1,15,2,4,"BLBW","M","S",1,0,0
"3176",780,144,0,"5/27/2015","7:22:00 AM","DJW",1,1,19,3,7,"OVEN","M","S",1,0,1
"3184",780,144,0,"5/27/2015","7:22:00 AM","DJW",1,1,27,3,8,"BTNW","M","S",1,0,0
"3185",780,144,0,"5/27/2015","7:22:00 AM","DJW",1,1,29,3,8,"BTNW","M","S",1,1,1
"3186",775,157,0,"5/27/2015","5:41:00 AM","JDW",2,0,1,1,1,"OVEN","M","S",1,1,0
"3189",775,157,0,"5/27/2015","5:41:00 AM","JDW",2,0,7,2,3,"OVEN","M","S",1,0,0
"3190",775,157,0,"5/27/2015","5:41:00 AM","JDW",2,0,8,2,3,"OVEN","M","S",1,0,0
"3192",775,157,0,"5/27/2015","5:41:00 AM","JDW",2,0,11,2,4,"BLBW","M","S",1,1,0
"3193",775,157,0,"5/27/2015","5:41:00 AM","JDW",2,0,13,3,7,"OVEN","M","S",1,0,0
"3194",775,157,0,"5/27/2015","5:41:00 AM","JDW",2,0,14,3,7,"BLBW","M","S",1,0,0
"3196",775,157,0,"5/27/2015","5:41:00 AM","JDW",2,0,16,3,8,"OVEN","M","S",1,0,0
"3197",775,173,0,"5/27/2015","7:07:00 AM","AJS",2,1,1,1,1,"REVI","M","S",1,1,0
"3198",775,173,0,"5/27/2015","7:07:00 AM","AJS",2,1,2,1,1,"OVEN","M","S",1,1,1
"3199",775,173,0,"5/27/2015","7:07:00 AM","AJS",2,1,3,1,1,"OVEN","M","S",1,1,1
"3202",775,173,0,"5/27/2015","7:07:00 AM","AJS",2,1,6,2,3,"OVEN","M","S",1,0,1
"3203",775,173,0,"5/27/2015","7:07:00 AM","AJS",2,1,7,2,3,"OVEN","M","S",1,0,1
"3205",775,173,0,"5/27/2015","7:07:00 AM","AJS",2,1,10,2,5,"REVI","M","S",1,0,0
"3207",775,173,0,"5/27/2015","7:07:00 AM","AJS",2,1,12,3,6,"OVEN","M","S",1,0,1
"3210",775,173,0,"5/27/2015","7:07:00 AM","AJS",2,1,17,3,8,"REVI","M","S",1,0,0
"3211",780,145,0,"5/27/2015","7:41:00 AM","DJW",1,1,1,1,1,"REVI","M","S",1,1,1
"3214",780,145,0,"5/27/2015","7:41:00 AM","DJW",1,1,4,1,1,"BLBW","M","S",1,1,0
"3218",780,145,0,"5/27/2015","7:41:00 AM","DJW",1,1,9,2,4,"BLBW","M","S",1,0,0
"3222",780,145,0,"5/27/2015","7:41:00 AM","DJW",1,1,14,2,6,"BLBW","M","S",1,1,0
"3223",780,145,0,"5/27/2015","7:41:00 AM","DJW",1,1,16,3,7,"BLBW","M","S",1,0,0
"3233",775,158,0,"5/27/2015","6:03:00 AM","JDW",2,0,5,1,2,"REVI","M","S",1,1,1
"3241",775,158,0,"5/27/2015","6:03:00 AM","JDW",2,0,13,2,4,"REVI","M","S",1,0,0
"3242",775,158,0,"5/27/2015","6:03:00 AM","JDW",2,0,14,2,5,"BTNW","M","S",1,1,0
"3245",775,158,0,"5/27/2015","6:03:00 AM","JDW",2,0,17,3,7,"BTNW","M","S",1,0,0
"3247",775,158,0,"5/27/2015","6:03:00 AM","JDW",2,0,19,3,7,"REVI","M","S",1,0,0
